OfferingID,CourseID,Semester,InstructorID,Schedule
1,485,Spring,147,"Mon 13:00-14:30,303,2023"
2,272,Spring,484,"Mon/Wed 9:00-10:30,101,2024"
3,306,Spring,306,
4,122,Summer,161,"Mon/Wed 9:00-10:30,101,2024"
5,128,Fall,141,"Tue/Thu 11:00-12:30,202,2025"
6,113,Spring,334,"Mon/Wed 9:00-10:30,101,2024"
7,427,Fall,97,"Tue/Thu 11:00-12:30,202,2025"
8,273,Fall,446,"Mon 13:00-14:30,303,2023"
9,336,Summer,221,"Mon 13:00-14:30,303,2023"
10,442,Summer,43,
11,130,Fall,433,"Tue/Thu 11:00-12:30,202,2025"
12,132,Spring,292,"Mon 13:00-14:30,303,2023"
13,85,Summer,378,
14,423,Spring,108,
15,482,Spring,266,"Mon/Wed 9:00-10:30,101,2024"
16,350,Spring,95,
17,390,Fall,262,"Mon 13:00-14:30,303,2023"
18,81,Spring,313,"Mon/Wed 9:00-10:30,101,2024"
19,487,Fall,385,"Tue/Thu 11:00-12:30,202,2025"
20,473,Fall,71,"Tue/Thu 11:00-12:30,202,2025"
21,325,Spring,442,"Mon 13:00-14:30,303,2023"
22,69,Spring,219,"Mon 13:00-14:30,303,2023"
23,148,Spring,21,"Mon/Wed 9:00-10:30,101,2024"
24,448,Spring,92,"Mon/Wed 9:00-10:30,101,2024"
25,16,Fall,127,"Mon 13:00-14:30,303,2023"
26,307,Spring,80,"Mon 13:00-14:30,303,2023"
27,105,Spring,312,"Tue/Thu 11:00-12:30,202,2025"
28,165,Fall,238,"Tue/Thu 11:00-12:30,202,2025"
29,488,Summer,471,"Tue/Thu 11:00-12:30,202,2025"
30,201,Summer,372,"Mon 13:00-14:30,303,2023"
31,197,Fall,404,
32,426,Summer,486,"Mon 13:00-14:30,303,2023"
33,185,Fall,182,"Mon 13:00-14:30,303,2023"
34,322,Spring,25,"Tue/Thu 11:00-12:30,202,2025"
35,265,Spring,156,"Mon 13:00-14:30,303,2023"
36,363,Summer,5,"Mon/Wed 9:00-10:30,101,2024"
37,100,Spring,120,"Mon 13:00-14:30,303,2023"
38,342,Summer,277,"Mon 13:00-14:30,303,2023"
39,320,Summer,18,"Mon 13:00-14:30,303,2023"
40,214,Spring,431,"Mon 13:00-14:30,303,2023"
41,278,Spring,198,
42,162,Summer,57,"Mon 13:00-14:30,303,2023"
43,439,Spring,93,"Mon/Wed 9:00-10:30,101,2024"
44,157,Fall,19,"Mon/Wed 9:00-10:30,101,2024"
45,422,Spring,384,"Mon 13:00-14:30,303,2023"
46,251,Spring,353,"Tue/Thu 11:00-12:30,202,2025"
47,366,Fall,193,
48,97,Spring,237,"Mon 13:00-14:30,303,2023"
49,18,Spring,387,"Mon 13:00-14:30,303,2023"
50,327,Summer,426,"Mon 13:00-14:30,303,2023"
51,449,Spring,277,"Tue/Thu 11:00-12:30,202,2025"
52,383,Spring,227,"Tue/Thu 11:00-12:30,202,2025"
53,97,Fall,233,"Tue/Thu 11:00-12:30,202,2025"
54,1,Summer,40,
55,216,Summer,323,"Mon/Wed 9:00-10:30,101,2024"
