EnrollmentID,StudentID,OfferingID,EnrollmentDate,Grade
1,386,17,2023-07-16,B
2,62,19,2023-04-25,A
3,3,219,2023-05-01,
4,430,326,2024-10-14,
5,68,483,2023-03-06,A
6,25,120,2023-10-03,
7,179,101,2023-08-27,D
8,141,34,2023-10-29,F
9,231,84,2024-01-27,C
10,300,409,2024-06-05,D
11,163,196,2024-01-04,F
12,311,330,2023-08-21,F
13,471,202,2023-07-14,
14,393,344,2023-01-12,B
15,130,341,2024-11-19,B
16,445,11,2023-06-26,
17,246,347,2023-08-05,
18,297,400,2023-01-11,A
19,172,218,2024-03-21,A
20,64,445,2024-09-21,C
21,31,253,2023-06-13,C
22,492,222,2024-07-04,C
23,47,383,2023-02-22,C
24,130,369,2023-08-06,F
25,352,80,2024-12-18,F
26,466,7,2023-12-26,A
27,333,272,2024-01-20,B
28,110,227,2023-02-25,
29,69,16,2023-04-28,B
30,58,424,2023-09-10,D
31,106,12,2023-06-29,F
32,300,291,2024-02-19,C
33,330,241,2023-08-23,C
34,256,21,2024-12-08,D
35,312,178,2023-03-21,B
36,171,427,2024-10-08,C
37,383,228,2023-01-22,B
38,473,496,2024-04-21,
39,162,273,2024-03-15,D
40,485,288,2024-07-23,B
41,286,297,2023-04-03,
42,71,134,2023-07-11,B
43,255,472,2023-04-13,B
44,454,283,2024-01-31,C
45,374,404,2023-01-07,A
46,55,153,2024-10-01,F
47,323,66,2024-07-20,B
48,397,137,2023-08-19,B
49,3,92,2024-07-27,B
50,26,437,2023-08-28,A
51,313,317,2023-03-31,
52,126,422,2023-08-20,D
53,408,259,2024-04-01,C
54,53,468,2023-08-21,A
55,198,454,2023-12-20,
56,299,103,2023-11-29,B
57,188,481,2024-03-14,
58,186,55,2024-01-10,A
59,305,257,2023-10-19,A
60,298,101,2023-12-11,A
61,204,198,2024-10-25,D
62,497,301,2024-03-03,F
63,484,226,2024-10-18,C
64,450,431,2023-05-10,D
65,11,463,2023-05-21,D
66,359,237,2024-02-19,F
67,354,26,2023-04-03,D
68,474,121,2024-09-17,A
69,146,398,2023-10-11,A
70,85,182,2024-10-16,
71,100,199,2023-08-11,B
72,104,302,2024-04-07,D
73,436,255,2024-06-28,B
74,46,122,2023-10-03,C
75,44,31,2024-11-12,A
76,278,472,2023-05-20,
77,181,315,2023-12-23,C
78,187,479,2024-12-13,
79,478,285,2023-01-23,F
80,114,106,2023-09-27,A
81,491,224,2024-10-26,C
82,255,273,2023-11-29,F
83,381,398,2023-03-26,C
84,380,232,2024-09-12,
85,30,420,2023-01-31,F
86,264,256,2023-08-28,F
87,98,442,2023-12-29,A
88,313,496,2024-01-24,B
89,367,24,2024-10-14,
